,case_id,activity,agent,start,end
0,0,Check application form completeness,0,2023-04-20 08:00:00+00:00,2023-04-20 08:11:36.860373043+00:00
1,0,Appraise property,3,2023-04-20 08:11:36.860373043+00:00,2023-04-20 08:55:41.503805804+00:00
2,0,AML check,2,2023-04-20 08:55:41.503805804+00:00,2023-04-20 09:24:26.370310472+00:00
3,0,Check credit history,0,2023-04-20 09:24:26.370310472+00:00,2023-04-20 10:04:05.831445826+00:00
4,0,Assess loan risk,11,2023-04-20 10:04:05.831445826+00:00,2023-04-20 10:24:05.831445826+00:00
5,0,Check application form completeness,0,2023-04-20 10:24:05.831445826+00:00,2023-04-20 10:27:47.421761481+00:00
6,0,Appraise property,3,2023-04-20 10:27:47.421761481+00:00,2023-04-20 10:49:29.867723160+00:00
7,0,AML check,2,2023-04-20 10:49:29.867723160+00:00,2023-04-20 11:13:09.132097442+00:00
8,0,Check credit history,0,2023-04-20 11:13:09.132097442+00:00,2023-04-20 11:36:12.574828123+00:00
9,0,Assess loan risk,11,2023-04-20 11:36:12.574828123+00:00,2023-04-20 11:56:12.574828123+00:00
10,0,Design loan offer,11,2023-04-20 11:56:12.574828123+00:00,2023-04-20 12:12:41.453690396+00:00
11,0,Approve loan offer,14,2023-04-20 12:12:41.453690396+00:00,2023-04-20 12:32:41.453690396+00:00
12,0,Assess loan risk,11,2023-04-20 12:32:41.453690396+00:00,2023-04-20 12:52:41.453690396+00:00
13,0,Check credit history,0,2023-04-20 12:52:41.453690396+00:00,2023-04-20 13:19:49.198202563+00:00
14,0,Assess loan risk,11,2023-04-20 13:19:49.198202563+00:00,2023-04-20 13:39:49.198202563+00:00
15,0,Appraise property,3,2023-04-20 13:39:49.198202563+00:00,2023-04-20 14:04:27.986420271+00:00
16,0,Assess loan risk,11,2023-04-20 14:04:27.986420271+00:00,2023-04-20 14:24:27.986420271+00:00
17,0,Return application back to applicant,0,2023-04-20 14:24:27.986420271+00:00,2023-04-20 14:29:27.986420271+00:00
18,0,Applicant completes form,18,2023-04-20 14:29:27.986420271+00:00,2023-04-20 15:29:27.986420271+00:00
19,0,Check application form completeness,0,2023-04-20 15:29:27.986420271+00:00,2023-04-20 15:50:40.863070309+00:00
20,0,Appraise property,3,2023-04-20 15:50:40.863070309+00:00,2023-04-20 15:59:58.670487984+00:00
21,0,AML check,2,2023-04-20 15:59:58.670487984+00:00,2023-04-20 16:33:35.798129726+00:00
22,0,Check credit history,0,2023-04-20 16:33:35.798129726+00:00,2023-04-20 17:01:16.894716988+00:00
23,0,Assess loan risk,11,2023-04-20 17:01:16.894716988+00:00,2023-04-20 17:21:16.894716988+00:00
24,0,Check credit history,0,2023-04-20 17:21:16.894716988+00:00,2023-04-20 17:47:43.709413168+00:00
25,0,Assess loan risk,11,2023-04-20 17:47:43.709413168+00:00,2023-04-20 18:07:43.709413168+00:00
26,0,Design loan offer,11,2023-04-20 18:07:43.709413168+00:00,2023-04-20 18:11:11.775552175+00:00
27,0,Approve loan offer,14,2023-04-20 18:11:11.775552175+00:00,2023-04-20 18:31:11.775552175+00:00
