,case_id,activity,resource,start_timestamp,lifecycle:transition_start,end_timestamp,lifecycle:transition_end
50,173703,W_Completeren aanvraag,10912,2011-10-01 11:37:46.748000+00:00,START,2011-10-01 11:40:24.141000+00:00,COMPLETE
51,173703,W_Completeren aanvraag,10912,2011-10-01 11:37:46.748000+00:00,START,2011-10-01 13:02:12.557000+00:00,COMPLETE
52,173703,W_Completeren aanvraag,10912,2011-10-01 12:40:26.958000+00:00,START,2011-10-01 11:40:24.141000+00:00,COMPLETE
53,173703,W_Completeren aanvraag,10912,2011-10-01 12:40:26.958000+00:00,START,2011-10-01 13:02:12.557000+00:00,COMPLETE
463,173781,W_Completeren aanvraag,11180,2011-10-03 09:14:50.846000+00:00,START,2011-10-03 09:25:12.137000+00:00,COMPLETE
683,173799,W_Completeren aanvraag,11180,2011-10-03 09:32:25.253000+00:00,START,2011-10-03 09:35:35.736000+00:00,COMPLETE
684,173799,W_Completeren aanvraag,11121,2011-10-04 18:13:53.217000+00:00,START,2011-10-04 18:15:07.660000+00:00,COMPLETE
685,173799,W_Completeren aanvraag,11121,2011-10-04 18:13:53.217000+00:00,START,2011-10-04 18:30:30.080000+00:00,COMPLETE
686,173799,W_Completeren aanvraag,10982,2011-10-04 18:15:29.745000+00:00,START,2011-10-04 18:15:39.598000+00:00,COMPLETE
687,173799,W_Completeren aanvraag,11121,2011-10-04 18:28:27.183000+00:00,START,2011-10-04 18:15:07.660000+00:00,COMPLETE
688,173799,W_Completeren aanvraag,11121,2011-10-04 18:28:27.183000+00:00,START,2011-10-04 18:30:30.080000+00:00,COMPLETE
1080,173934,W_Afhandelen leads,10889,2011-10-03 09:24:04.854000+00:00,START,2011-10-03 09:29:09.034000+00:00,COMPLETE
1377,173982,W_Completeren aanvraag,11180,2011-10-03 12:28:33.043000+00:00,START,2011-10-03 12:32:27.829000+00:00,COMPLETE
1378,173982,W_Completeren aanvraag,11180,2011-10-03 12:28:33.043000+00:00,START,2011-10-03 12:36:34.899000+00:00,COMPLETE
1379,173982,W_Completeren aanvraag,11180,2011-10-03 12:32:33.581000+00:00,START,2011-10-03 12:32:27.829000+00:00,COMPLETE
1380,173982,W_Completeren aanvraag,11180,2011-10-03 12:32:33.581000+00:00,START,2011-10-03 12:36:34.899000+00:00,COMPLETE
1381,173982,W_Nabellen offertes,11119,2011-10-10 17:25:16.891000+00:00,START,2011-10-10 17:27:04.732000+00:00,COMPLETE
1499,174027,W_Afhandelen leads,11001,2011-10-03 12:16:29.231000+00:00,START,2011-10-03 12:18:16.319000+00:00,COMPLETE
2212,174123,W_Afhandelen leads,11001,2011-10-03 16:17:57.992000+00:00,START,2011-10-03 16:20:21.600000+00:00,COMPLETE
2663,174231,W_Completeren aanvraag,10889,2011-10-04 11:59:41.252000+00:00,START,2011-10-04 12:01:12.695000+00:00,COMPLETE
2664,174231,W_Completeren aanvraag,11179,2011-10-04 16:41:57.350000+00:00,START,2011-10-04 16:51:37.803000+00:00,COMPLETE
2665,174231,W_Nabellen offertes,11119,2011-10-11 20:42:17.828000+00:00,START,2011-10-11 20:44:01.663000+00:00,COMPLETE
2992,174282,W_Afhandelen leads,10982,2011-10-04 09:07:25.481000+00:00,START,2011-10-04 09:09:26.264000+00:00,COMPLETE
3361,174364,W_Afhandelen leads,10982,2011-10-04 11:55:47.070000+00:00,START,2011-10-04 11:57:18.855000+00:00,COMPLETE
3439,174385,W_Completeren aanvraag,11001,2011-10-04 14:11:47.862000+00:00,START,2011-10-04 14:19:41.935000+00:00,COMPLETE
3440,174385,W_Nabellen offertes,11049,2011-10-10 10:42:35.321000+00:00,START,2011-10-10 10:43:37.930000+00:00,COMPLETE
3441,174385,W_Valideren aanvraag,10629,2011-10-12 08:53:24.810000+00:00,START,2011-10-12 08:59:10.014000+00:00,COMPLETE
3442,174385,W_Valideren aanvraag,10629,2011-10-12 08:53:24.810000+00:00,START,2011-10-12 09:12:20.713000+00:00,COMPLETE
3443,174385,W_Valideren aanvraag,10629,2011-10-12 08:59:28.499000+00:00,START,2011-10-12 08:59:10.014000+00:00,COMPLETE
3444,174385,W_Valideren aanvraag,10629,2011-10-12 08:59:28.499000+00:00,START,2011-10-12 09:12:20.713000+00:00,COMPLETE
3793,174451,W_Afhandelen leads,11001,2011-10-04 16:13:52.636000+00:00,START,2011-10-04 16:16:01.247000+00:00,COMPLETE
3794,174451,W_Completeren aanvraag,11001,2011-10-04 16:17:00.436000+00:00,START,2011-10-04 16:18:36.921000+00:00,COMPLETE
3795,174451,W_Completeren aanvraag,11179,2011-10-04 18:56:38.880000+00:00,START,2011-10-04 19:04:02.957000+00:00,COMPLETE
3898,174490,W_Afhandelen leads,11122,2011-10-04 19:20:38.021000+00:00,START,2011-10-04 19:35:06.415000+00:00,COMPLETE
3899,174490,W_Completeren aanvraag,11122,2011-10-04 19:35:18.336000+00:00,START,2011-10-04 19:35:53.808000+00:00,COMPLETE
3900,174490,W_Completeren aanvraag,11122,2011-10-04 19:35:18.336000+00:00,START,2011-10-05 13:10:07.777000+00:00,COMPLETE
3901,174490,W_Completeren aanvraag,11122,2011-10-04 19:35:18.336000+00:00,START,2011-10-05 13:10:55.050000+00:00,COMPLETE
3902,174490,W_Completeren aanvraag,11122,2011-10-04 19:35:18.336000+00:00,START,2011-10-05 18:37:14.708000+00:00,COMPLETE
3903,174490,W_Completeren aanvraag,11122,2011-10-04 19:35:18.336000+00:00,START,2011-10-05 18:44:09.229000+00:00,COMPLETE
3904,174490,W_Completeren aanvraag,11180,2011-10-05 08:56:21.693000+00:00,START,2011-10-05 08:56:28.266000+00:00,COMPLETE
3905,174490,W_Completeren aanvraag,11122,2011-10-05 13:08:39.354000+00:00,START,2011-10-04 19:35:53.808000+00:00,COMPLETE
3906,174490,W_Completeren aanvraag,11122,2011-10-05 13:08:39.354000+00:00,START,2011-10-05 13:10:07.777000+00:00,COMPLETE
3907,174490,W_Completeren aanvraag,11122,2011-10-05 13:08:39.354000+00:00,START,2011-10-05 13:10:55.050000+00:00,COMPLETE
3908,174490,W_Completeren aanvraag,11122,2011-10-05 13:08:39.354000+00:00,START,2011-10-05 18:37:14.708000+00:00,COMPLETE
3909,174490,W_Completeren aanvraag,11122,2011-10-05 13:08:39.354000+00:00,START,2011-10-05 18:44:09.229000+00:00,COMPLETE
3910,174490,W_Completeren aanvraag,11122,2011-10-05 13:10:11.674000+00:00,START,2011-10-04 19:35:53.808000+00:00,COMPLETE
3911,174490,W_Completeren aanvraag,11122,2011-10-05 13:10:11.674000+00:00,START,2011-10-05 13:10:07.777000+00:00,COMPLETE
3912,174490,W_Completeren aanvraag,11122,2011-10-05 13:10:11.674000+00:00,START,2011-10-05 13:10:55.050000+00:00,COMPLETE
3913,174490,W_Completeren aanvraag,11122,2011-10-05 13:10:11.674000+00:00,START,2011-10-05 18:37:14.708000+00:00,COMPLETE
3914,174490,W_Completeren aanvraag,11122,2011-10-05 13:10:11.674000+00:00,START,2011-10-05 18:44:09.229000+00:00,COMPLETE
3915,174490,W_Completeren aanvraag,10809,2011-10-05 15:48:52.534000+00:00,START,2011-10-05 15:53:41.467000+00:00,COMPLETE
3916,174490,W_Completeren aanvraag,11122,2011-10-05 17:18:49.097000+00:00,START,2011-10-04 19:35:53.808000+00:00,COMPLETE
3917,174490,W_Completeren aanvraag,11122,2011-10-05 17:18:49.097000+00:00,START,2011-10-05 13:10:07.777000+00:00,COMPLETE
3918,174490,W_Completeren aanvraag,11122,2011-10-05 17:18:49.097000+00:00,START,2011-10-05 13:10:55.050000+00:00,COMPLETE
3919,174490,W_Completeren aanvraag,11122,2011-10-05 17:18:49.097000+00:00,START,2011-10-05 18:37:14.708000+00:00,COMPLETE
3920,174490,W_Completeren aanvraag,11122,2011-10-05 17:18:49.097000+00:00,START,2011-10-05 18:44:09.229000+00:00,COMPLETE
